Save,1/8/2026,1:07:50 PM,Scan,1/8/2026,1:07:35 PM,Reference,1/8/2026,12:58:32 PM,Measure
Software,STS IL/PDL,RAW,Normal,2.3.1.0
TSL,SANTEC,TSL-570,22110007,0032.0033.0015
PowerMeter,SANTEC,MPM-210H,23090007,Ver.1.19
,Module0,MPM-211,23090008M211,Ver.1.23
Power Monitor,DAQ
Start,1243,nm
Stop,1377,nm
Step,0.01,nm
Speed,200,nm/s
Source Power,5,dBm
Averaging Time,0.05,msec
Power meter range,23090008M211,(Ch1),-30～+10dBm,-40～ 0dBm,-50～-10dBm,-60～-20dBm,-80～-30dBm
--HEADER END--
--RAW DATA START--
Wavelength(nm),Monitor_R1(dBm),Monitor_R2(dBm),Monitor_R3(dBm),Monitor_R4(dBm),Monitor_R5(dBm),Raw_M1_S0_CH1_R1(dBm),Raw_M1_S0_CH1_R2(dBm),Raw_M1_S0_CH1_R3(dBm),Raw_M1_S0_CH1_R4(dBm),Raw_M1_S0_CH1_R5(dBm)
1244.42,-3.229153,-3.225477,-3.226677,-3.223902,-3.227502,-26.68923,-34.56105,-37.67664,-38.15237,-38.16309
1244.43,-3.226902,-3.223677,-3.226677,-3.223303,-3.225552,-26.69403,-34.61556,-37.71059,-38.19408,-38.22084
1244.44,-3.224652,-3.222703,-3.227727,-3.223752,-3.224727,-26.73322,-34.58433,-37.68956,-38.17708,-38.22827
1244.45,-3.226977,-3.229378,-3.233433,-3.229453,-3.229978,-26.75866,-34.57784,-37.74141,-38.22131,-38.23626
1244.46,-3.234109,-3.242607,-3.244339,-3.239748,-3.240651,-26.7455,-34.66514,-37.86603,-38.34956,-38.32941
1244.47,-3.245017,-3.257313,-3.258143,-3.25316,-3.254745,-26.7172,-34.74529,-37.97345,-38.4726,-38.46641
1244.48,-3.255198,-3.271385,-3.270628,-3.265705,-3.267522,-26.68227,-34.76068,-38.04433,-38.5626,-38.57678
1244.49,-3.260562,-3.276466,-3.275935,-3.272902,-3.27275,-26.69421,-34.73627,-38.0739,-38.60476,-38.64523
1244.5,-3.26162,-3.276163,-3.276542,-3.275555,-3.27275,-26.72443,-34.70654,-38.06312,-38.58344,-38.65606
1244.51,-3.263965,-3.276011,-3.276845,-3.277376,-3.273205,-26.71386,-34.72704,-38.03995,-38.57188,-38.63271
1244.52,-3.271613,-3.279274,-3.280945,-3.28368,-3.27768,-26.68711,-34.71192,-37.94922,-38.48777,-38.58369
1244.53,-3.281021,-3.286493,-3.286569,-3.288774,-3.283604,-26.64899,-34.64224,-37.76974,-38.28289,-38.43769
1244.54,-3.290068,-3.292733,-3.289536,-3.292428,-3.28809,-26.61983,-34.56025,-37.59791,-38.08395,-38.22604
1244.55,-3.291743,-3.291667,-3.286036,-3.289231,-3.286264,-26.62324,-34.46721,-37.48464,-37.96018,-38.05907
1244.56,-3.28444,-3.281097,-3.276997,-3.276997,-3.27548,-26.63202,-34.43106,-37.43147,-37.88404,-37.96009
1244.57,-3.269794,-3.266084,-3.260486,-3.261847,-3.258672,-26.63065,-34.43676,-37.42191,-37.87859,-37.91887
1244.58,-3.259579,-3.253537,-3.24969,-3.248709,-3.250218,-26.65704,-34.4441,-37.4226,-37.8859,-37.92186
1244.59,-3.25233,-3.244113,-3.242532,-3.240575,-3.242607,-26.65839,-34.4262,-37.37129,-37.82371,-37.89816
1244.6,-3.245469,-3.238544,-3.238469,-3.235311,-3.238544,-26.64887,-34.41114,-37.34598,-37.78981,-37.84531
1244.61,-3.242156,-3.236138,-3.235086,-3.233433,-3.23689,-26.6611,-34.41317,-37.37308,-37.81938,-37.83753
1244.62,-3.235762,-3.232456,-3.231104,-3.230729,-3.233433,-26.66858,-34.40678,-37.38464,-37.8318,-37.87751
1244.63,-3.229753,-3.230429,-3.228702,-3.229753,-3.230654,-26.65093,-34.35981,-37.32248,-37.76442,-37.86042
1244.64,-3.232156,-3.234785,-3.232982,-3.23486,-3.233733,-26.63803,-34.33737,-37.29023,-37.73644,-37.78334
1244.65,-3.239522,-3.244791,-3.244942,-3.245544,-3.243285,-26.66326,-34.39532,-37.35338,-37.80626,-37.7896
1244.66,-3.24773,-3.254216,-3.255349,-3.254745,-3.254594,-26.69738,-34.44694,-37.40735,-37.8554,-37.86892
1244.67,-3.256708,-3.263511,-3.268355,-3.264797,-3.265024,-26.71648,-34.41258,-37.40292,-37.85466,-37.89533
1244.68,-3.260562,-3.268507,-3.275176,-3.269718,-3.270552,-26.69049,-34.3983,-37.37791,-37.83421,-37.87404
1244.69,-3.261318,-3.268961,-3.276845,-3.269491,-3.272826,-26.64552,-34.4225,-37.39519,-37.84978,-37.87334
1244.7,-3.263814,-3.270704,-3.278894,-3.272598,-3.276314,-26.65785,-34.43473,-37.43797,-37.89518,-37.91086
1244.71,-3.272143,-3.27935,-3.285504,-3.280793,-3.284288,-26.67625,-34.43879,-37.48107,-37.93938,-37.95713
1244.72,-3.283832,-3.289536,-3.295018,-3.293038,-3.293038,-26.64094,-34.45316,-37.46248,-37.92754,-37.97229
1244.73,-3.292885,-3.297076,-3.298753,-3.298982,-3.296924,-26.61245,-34.4149,-37.38957,-37.8517,-37.93343
1244.74,-3.295628,-3.29883,-3.298144,-3.300355,-3.297991,-26.61983,-34.37816,-37.32512,-37.77336,-37.82784
1244.75,-3.291058,-3.291972,-3.289459,-3.293799,-3.291591,-26.62655,-34.42252,-37.37211,-37.8178,-37.81168
1244.76,-3.28368,-3.280565,-3.275935,-3.282692,-3.281325,-26.6279,-34.44285,-37.45223,-37.90832,-37.89991
1244.77,-3.273129,-3.270779,-3.263814,-3.268658,-3.270552,-26.64619,-34.48606,-37.49986,-37.96509,-37.98465
1244.78,-3.267295,-3.264116,-3.255424,-3.260638,-3.264041,-26.68573,-34.51278,-37.55075,-38.01843,-38.02291
1244.79,-3.26283,-3.256406,-3.248559,-3.25233,-3.254745,-26.69942,-34.53366,-37.63681,-38.12839,-38.10378
1244.8,-3.255575,-3.249237,-3.240726,-3.243285,-3.243059,-26.67213,-34.62231,-37.82303,-38.33724,-38.28397
1244.81,-3.248634,-3.241704,-3.235161,-3.238544,-3.235912,-26.65721,-34.72323,-37.98257,-38.49023,-38.45902
1244.82,-3.240124,-3.236138,-3.230354,-3.232156,-3.227202,-26.7342,-34.76017,-38.09061,-38.63738,-38.62845
1244.83,-3.238168,-3.236664,-3.232156,-3.232531,-3.226902,-26.76844,-34.78004,-38.18679,-38.73392,-38.7292
1244.84,-3.240726,-3.243661,-3.240199,-3.238469,-3.234109,-26.76367,-34.77348,-38.19982,-38.75471,-38.79964
1244.85,-3.245168,-3.250746,-3.247051,-3.243812,-3.241027,-26.73828,-34.73827,-38.1598,-38.70885,-38.75978
1244.86,-3.246147,-3.254066,-3.249991,-3.246449,-3.245243,-26.75427,-34.77352,-38.19179,-38.73356,-38.75219
1244.87,-3.24577,-3.255047,-3.250444,-3.248031,-3.248559,-26.7748,-34.84844,-38.2717,-38.81765,-38.81731
1244.88,-3.244867,-3.254141,-3.249464,-3.248106,-3.249916,-26.73373,-34.92496,-38.43207,-38.98959,-38.9599
1244.89,-3.246072,-3.254745,-3.251123,-3.251726,-3.253688,-26.7268,-34.94855,-38.50856,-39.0948,-39.10112
1244.9,-3.2555,-3.260713,-3.259957,-3.261772,-3.262679,-26.72956,-34.9235,-38.44106,-39.02975,-39.12606
